epoch,home_team,away_team,tournament,neutral,home_team_win_percent,away_team_win_percent,winner
-2486142000.0,H-Wales,A-Scotland,British Home Championship,F,0.2608695652173913,0.6666666666666666,Away
-2484759600.0,H-England,A-Scotland,British Home Championship,F,0.6956521739130435,0.6875,Home
-2456506800.0,H-Wales,A-Northern Ireland,British Home Championship,F,0.21739130434782608,0.14285714285714285,Tie
-2455902000.0,H-Northern Ireland,A-England,British Home Championship,F,0.13333333333333333,0.6956521739130435,Away
-2455902000.0,H-Wales,A-England,British Home Championship,F,0.20833333333333334,0.7083333333333334,Away
-2454087600.0,H-Scotland,A-Wales,British Home Championship,F,0.6,0.21739130434782608,Home
-2453482800.0,H-Scotland,A-England,British Home Championship,F,0.625,0.7391304347826086,Away
-2425057200.0,H-England,A-Northern Ireland,British Home Championship,F,0.7391304347826086,0.13333333333333333,Home
-2423674800.0,H-England,A-Wales,British Home Championship,F,0.8181818181818182,0.21739130434782608,Home
-2423242800.0,H-Wales,A-Scotland,British Home Championship,F,0.21739130434782608,0.6,Away
-2422033200.0,H-England,A-Scotland,British Home Championship,F,0.8260869565217391,0.625,Home
-2393607600.0,H-Wales,A-Northern Ireland,British Home Championship,F,0.13636363636363635,0.14285714285714285,Home
-2393002800.0,H-Northern Ireland,A-England,British Home Championship,F,0.13333333333333333,0.8333333333333334,Tie
-2392225200.0,H-Wales,A-England,British Home Championship,F,0.17391304347826086,0.7916666666666666,Away
-2391188400.0,H-Scotland,A-Wales,British Home Championship,F,0.625,0.17391304347826086,Home
-2389978800.0,H-Scotland,A-England,British Home Championship,F,0.625,0.8260869565217391,Tie
-2360948400.0,H-England,A-Northern Ireland,British Home Championship,F,0.7727272727272727,0.07692307692307693,Home
-2360343600.0,H-Northern Ireland,A-Wales,British Home Championship,F,0.07142857142857142,0.2,Tie
-2360170800.0,H-England,A-Wales,British Home Championship,F,0.8181818181818182,0.19047619047619047,Tie
-2359738800.0,H-Wales,A-Scotland,British Home Championship,F,0.18181818181818182,0.5333333333333333,Tie
-2358529200.0,H-England,A-Scotland,British Home Championship,F,0.782608695652174,0.5,Home
-2330103600.0,H-Wales,A-Northern Ireland,British Home Championship,F,0.14285714285714285,0.07142857142857142,Home
-2329498800.0,H-Northern Ireland,A-England,British Home Championship,F,0.06666666666666667,0.782608695652174,Away
-2328721200.0,H-Wales,A-England,British Home Championship,F,0.19047619047619047,0.782608695652174,Away
-2328289200.0,H-Scotland,A-Wales,British Home Championship,F,0.4666666666666667,0.18181818181818182,Home
-2327079600.0,H-Scotland,A-England,British Home Championship,F,0.5,0.782608695652174,Home
-2299258800.0,H-England,A-Northern Ireland,British Home Championship,F,0.7391304347826086,0.06666666666666667,Home
-2298049200.0,H-Northern Ireland,A-Wales,British Home Championship,F,0.06666666666666667,0.18181818181818182,Home
-2296839600.0,H-Wales,A-Scotland,British Home Championship,F,0.17391304347826086,0.5,Tie
-2296062000.0,H-England,A-Wales,British Home Championship,F,0.7391304347826086,0.16666666666666666,Home
-2295630000.0,H-England,A-Scotland,British Home Championship,F,0.75,0.47058823529411764,Away
-2267809200.0,H-Wales,A-Northern Ireland,British Home Championship,F,0.09090909090909091,0.14285714285714285,Away
-2266599600.0,H-Northern Ireland,A-England,British Home Championship,F,0.2,0.75,Away
-2265390000.0,H-Scotland,A-Wales,British Home Championship,F,0.4666666666666667,0.09523809523809523,Home
-2264612400.0,H-Wales,A-England,British Home Championship,F,0.09090909090909091,0.7727272727272727,Away
-2264180400.0,H-Scotland,A-England,British Home Championship,F,0.5333333333333333,0.782608695652174,Away
-2236359600.0,H-England,A-Northern Ireland,British Home Championship,F,0.7916666666666666,0.14285714285714285,Away
-2235150000.0,H-Northern Ireland,A-Wales,British Home Championship,F,0.21428571428571427,0.09523809523809523,Home
-2233940400.0,H-Wales,A-Scotland,British Home Championship,F,0.09523809523809523,0.4666666666666667,Away
-2233767600.0,H-England,A-Wales,British Home Championship,F,0.7391304347826086,0.09090909090909091,Home
